Australia,26465,781,30.628,268.606
United Arab Emirates,75981,393,39.736,795.955
South Korea,21919,350,6.827,40.761
Greece,12452,297,28.495,104.994
Singapore,57022,27,4.615,144.372
New Zealand,1441,24,4.977,175.939
Taiwan,496,7,0.294,3.75
